model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
Transformer,4,PT4,patient_fold,accuracy,1.0,1.0,,
Transformer,4,PT4,patient_fold,precision,0.0,1.0,,
Transformer,4,PT4,patient_fold,recall,0.0,1.0,,
Transformer,4,PT4,patient_fold,specificity,1.0,1.0,,
Transformer,4,PT4,patient_fold,f1,0.0,1.0,,
Transformer,4,PT4,patient_fold,brier,9.962043266215862e-05,1.0,,
Transformer,4,PT4,patient_fold,log_loss,0.0100311477445925,1.0,,
XGBoost,4,PT4,cell_fold,roc_auc,,,,
XGBoost,4,PT4,cell_fold,accuracy,0.0,,,
XGBoost,4,PT4,cell_fold,precision,0.0,,,
XGBoost,4,PT4,cell_fold,recall,0.0,,,
XGBoost,4,PT4,cell_fold,specificity,0.0,,,
XGBoost,4,PT4,cell_fold,f1,0.0,,,
XGBoost,4,PT4,cell_fold,brier,0.4044759490140442,,,
XGBoost,4,PT4,cell_fold,log_loss,1.0112546708334578,,,
XGBoost,4,PT4,patient_fold,roc_auc,,1.0,,
XGBoost,4,PT4,patient_fold,accuracy,0.0,1.0,,
XGBoost,4,PT4,patient_fold,precision,0.0,1.0,,
XGBoost,4,PT4,patient_fold,recall,0.0,1.0,,
XGBoost,4,PT4,patient_fold,specificity,0.0,1.0,,
XGBoost,4,PT4,patient_fold,f1,0.0,1.0,,
XGBoost,4,PT4,patient_fold,brier,0.4040909063406595,1.0,,
XGBoost,4,PT4,patient_fold,log_loss,1.0097266576994832,1.0,,
MLP,pooled,all,cell_pooled,roc_auc,0.9999979105942071,4.0,0.9999959080181932,0.9999996582205014
MLP,pooled,all,cell_pooled,accuracy,0.9993928968936557,4.0,0.9989283489096573,0.999814072086908
MLP,pooled,all,cell_pooled,precision,0.9988681380871534,4.0,0.0,1.0
MLP,pooled,all,cell_pooled,recall,0.9997734224538348,4.0,0.0,1.0
MLP,pooled,all,cell_pooled,specificity,0.9990858396562757,4.0,0.9987497595691479,0.999390243902439
MLP,pooled,all,cell_pooled,f1,0.9993205752462915,4.0,0.0,0.9998866983911171
MLP,pooled,all,cell_pooled,brier,0.0004717972789782156,4.0,0.00016082651540210558,0.0008076432241489862
MLP,pooled,all,cell_pooled,log_loss,0.0020784372113047023,4.0,0.0007240250287788173,0.0032749787120933144
MLP,pooled,all,patient_pooled,roc_auc,1.0,4.0,1.0,1.0
MLP,pooled,all,patient_pooled,accuracy,1.0,4.0,1.0,1.0
MLP,pooled,all,patient_pooled,precision,1.0,4.0,0.0,1.0
MLP,pooled,all,patient_pooled,recall,1.0,4.0,0.0,1.0
MLP,pooled,all,patient_pooled,specificity,1.0,4.0,1.0,1.0
MLP,pooled,all,patient_pooled,f1,1.0,4.0,0.0,1.0
