sensitivity_analysis,model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
combined_exclude_recurrence,Transformer,pooled,all,sample_pooled,log_loss,0.0135885370102907,8.0,0.0081392523877984,0.0205743876092236
combined_all_timepoints,Transformer,1,PT1,cell_fold,roc_auc,,,,
combined_all_timepoints,Transformer,1,PT1,cell_fold,accuracy,0.9878539316980834,,,
combined_all_timepoints,Transformer,1,PT1,cell_fold,precision,1.0,,,
combined_all_timepoints,Transformer,1,PT1,cell_fold,recall,0.9878539316980834,,,
combined_all_timepoints,Transformer,1,PT1,cell_fold,specificity,,,,
combined_all_timepoints,Transformer,1,PT1,cell_fold,f1,0.993889858752579,,,
combined_all_timepoints,Transformer,1,PT1,cell_fold,brier,0.0100940523987344,,,
combined_all_timepoints,Transformer,1,PT1,cell_fold,log_loss,0.0437283901192985,,,
combined_all_timepoints,Transformer,1,PT1,patient_fold,roc_auc,,1.0,,
combined_all_timepoints,Transformer,1,PT1,patient_fold,accuracy,1.0,1.0,,
combined_all_timepoints,Transformer,1,PT1,patient_fold,precision,1.0,1.0,,
combined_all_timepoints,Transformer,1,PT1,patient_fold,recall,1.0,1.0,,
combined_all_timepoints,Transformer,1,PT1,patient_fold,specificity,,1.0,,
combined_all_timepoints,Transformer,1,PT1,patient_fold,f1,1.0,1.0,,
combined_all_timepoints,Transformer,1,PT1,patient_fold,brier,0.0001785188965328,1.0,,
combined_all_timepoints,Transformer,1,PT1,patient_fold,log_loss,0.0134511589531709,1.0,,
combined_all_timepoints,Transformer,2,PT2,cell_fold,roc_auc,,,,
combined_all_timepoints,Transformer,2,PT2,cell_fold,accuracy,0.9974215728405672,,,
combined_all_timepoints,Transformer,2,PT2,cell_fold,precision,1.0,,,
combined_all_timepoints,Transformer,2,PT2,cell_fold,recall,0.9974215728405672,,,
combined_all_timepoints,Transformer,2,PT2,cell_fold,specificity,,,,
combined_all_timepoints,Transformer,2,PT2,cell_fold,f1,0.9987091222030982,,,
combined_all_timepoints,Transformer,2,PT2,cell_fold,brier,0.0021126548572051,,,
combined_all_timepoints,Transformer,2,PT2,cell_fold,log_loss,0.0091711538940798,,,
combined_all_timepoints,Transformer,2,PT2,patient_fold,roc_auc,,1.0,,
combined_all_timepoints,Transformer,2,PT2,patient_fold,accuracy,1.0,1.0,,
combined_all_timepoints,Transformer,2,PT2,patient_fold,precision,1.0,1.0,,
combined_all_timepoints,Transformer,2,PT2,patient_fold,recall,1.0,1.0,,
combined_all_timepoints,Transformer,2,PT2,patient_fold,specificity,,1.0,,
combined_all_timepoints,Transformer,2,PT2,patient_fold,f1,1.0,1.0,,
combined_all_timepoints,Transformer,2,PT2,patient_fold,brier,9.902146430817991e-06,1.0,,
combined_all_timepoints,Transformer,2,PT2,patient_fold,log_loss,0.0031517291006469,1.0,,
combined_all_timepoints,Transformer,3,PT3,cell_fold,roc_auc,,,,
combined_all_timepoints,Transformer,3,PT3,cell_fold,accuracy,0.9871928746928746,,,
combined_all_timepoints,Transformer,3,PT3,cell_fold,precision,0.0,,,
combined_all_timepoints,Transformer,3,PT3,cell_fold,recall,0.0,,,
combined_all_timepoints,Transformer,3,PT3,cell_fold,specificity,0.9871928746928746,,,
